study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	sample_title
PRJNA274006	SAMN03317442	SRS830613	SRX859035	SRR1779587	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-1
PRJNA274006	SAMN03317444	SRS830614	SRX859036	SRR1779588	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-2
PRJNA274006	SAMN03317445	SRS830615	SRX859037	SRR1779589	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-3
PRJNA274006	SAMN03317443	SRS830616	SRX859038	SRR1779590	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-4
PRJNA274006	SAMN03317447	SRS830617	SRX859039	SRR1779591	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-5
PRJNA274006	SAMN03317440	SRS830618	SRX859040	SRR1779592	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-6
PRJNA274006	SAMN03317446	SRS830619	SRX859041	SRR1779593	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-7
PRJNA274006	SAMN03317441	SRS830620	SRX859042	SRR1779594	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-8
PRJNA274006	SAMN03317525	SRS830621	SRX859043	SRR1779595	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-9
PRJNA274006	SAMN03317619	SRS830622	SRX859044	SRR1779596	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-10
PRJNA274006	SAMN03317527	SRS830623	SRX859045	SRR1779597	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-11
PRJNA274006	SAMN03317493	SRS830624	SRX859046	SRR1779598	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-12
PRJNA274006	SAMN03317501	SRS830625	SRX859047	SRR1779599	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-13
PRJNA274006	SAMN03317610	SRS830627	SRX859048	SRR1779600	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-14
PRJNA274006	SAMN03317681	SRS830626	SRX859049	SRR1779601	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-15
PRJNA274006	SAMN03317528	SRS830628	SRX859050	SRR1779602	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-16
PRJNA274006	SAMN03317700	SRS830631	SRX859051	SRR1779603	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-17
PRJNA274006	SAMN03317581	SRS830629	SRX859052	SRR1779604	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-18
PRJNA274006	SAMN03317507	SRS830630	SRX859053	SRR1779605	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-19
PRJNA274006	SAMN03317607	SRS830632	SRX859054	SRR1779606	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-20
PRJNA274006	SAMN03317713	SRS830633	SRX859055	SRR1779607	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-21
PRJNA274006	SAMN03317532	SRS830634	SRX859056	SRR1779608	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-22
PRJNA274006	SAMN03317565	SRS830637	SRX859057	SRR1779609	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-23
PRJNA274006	SAMN03317504	SRS830635	SRX859058	SRR1779610	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-24
PRJNA274006	SAMN03317464	SRS830638	SRX859059	SRR1779611	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-25
PRJNA274006	SAMN03317646	SRS830636	SRX859060	SRR1779612	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-26
PRJNA274006	SAMN03317498	SRS830639	SRX859061	SRR1779613	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-27
PRJNA274006	SAMN03317688	SRS830640	SRX859062	SRR1779614	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-28
PRJNA274006	SAMN03317448	SRS830641	SRX859063	SRR1779615	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-29
PRJNA274006	SAMN03317715	SRS830642	SRX859064	SRR1779616	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-30
PRJNA274006	SAMN03317719	SRS830648	SRX859065	SRR1779617	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-31
PRJNA274006	SAMN03317467	SRS830643	SRX859066	SRR1779618	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-32
PRJNA274006	SAMN03317577	SRS830644	SRX859067	SRR1779619	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-33
PRJNA274006	SAMN03317516	SRS830650	SRX859068	SRR1779620	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-34
PRJNA274006	SAMN03317482	SRS830645	SRX859069	SRR1779621	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-35
PRJNA274006	SAMN03317543	SRS830646	SRX859070	SRR1779622	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-36
PRJNA274006	SAMN03317603	SRS830651	SRX859071	SRR1779623	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-37
PRJNA274006	SAMN03317496	SRS830647	SRX859072	SRR1779624	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-38
PRJNA274006	SAMN03317545	SRS830649	SRX859073	SRR1779625	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-39
PRJNA274006	SAMN03317534	SRS830652	SRX859074	SRR1779626	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-40
PRJNA274006	SAMN03317575	SRS830653	SRX859075	SRR1779627	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-41
PRJNA274006	SAMN03317697	SRS830654	SRX859076	SRR1779628	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-42
PRJNA274006	SAMN03317495	SRS830655	SRX859077	SRR1779629	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-43
PRJNA274006	SAMN03317560	SRS830656	SRX859078	SRR1779630	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-44
PRJNA274006	SAMN03317590	SRS830657	SRX859079	SRR1779631	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-45
PRJNA274006	SAMN03317707	SRS830658	SRX859080	SRR1779632	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-46
PRJNA274006	SAMN03317598	SRS830659	SRX859081	SRR1779633	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-47
PRJNA274006	SAMN03317460	SRS830660	SRX859082	SRR1779634	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-48
PRJNA274006	SAMN03317648	SRS830661	SRX859083	SRR1779635	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-49
PRJNA274006	SAMN03317471	SRS830662	SRX859084	SRR1779636	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-50
PRJNA274006	SAMN03317605	SRS830663	SRX859085	SRR1779637	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-51
PRJNA274006	SAMN03317515	SRS830664	SRX859086	SRR1779638	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-52
PRJNA274006	SAMN03317694	SRS830665	SRX859087	SRR1779639	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-53
PRJNA274006	SAMN03317642	SRS830666	SRX859088	SRR1779640	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-54
PRJNA274006	SAMN03317571	SRS830667	SRX859089	SRR1779641	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-55
PRJNA274006	SAMN03317541	SRS830668	SRX859090	SRR1779642	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-56
PRJNA274006	SAMN03317556	SRS830669	SRX859091	SRR1779643	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-57
PRJNA274006	SAMN03317822	SRS830670	SRX859092	SRR1779644	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-58
PRJNA274006	SAMN03317787	SRS830671	SRX859093	SRR1779645	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-59
PRJNA274006	SAMN03317981	SRS830672	SRX859094	SRR1779646	9606	Homo sapiens	NextSeq 500	PAIRED	singles-H1ESC-well-60
